国家/地区,点击次数,展示,点击率,排名
美国,8,1386,0.58%,16.94
新加坡,2,102,1.96%,8.45
印度,2,90,2.22%,18.61
墨西哥,2,13,15.38%,17.23
台湾,2,9,22.22%,27.44
英国,1,272,0.37%,18.18
加拿大,1,93,1.08%,13.49
德国,1,43,2.33%,10.05
菲律宾,1,39,2.56%,26.46
法国,1,27,3.7%,9.22
印度尼西亚,1,25,4%,23.4
奥地利,1,5,20%,8.8
澳大利亚,0,57,0%,16.14
巴西,0,56,0%,17.95
西班牙,0,56,0%,22.16
中国,0,50,0%,7.54
意大利,0,43,0%,24.86
越南,0,42,0%,28.29
泰国,0,24,0%,34.42
马来西亚,0,23,0%,16
韩国,0,21,0%,11.1
土耳其,0,21,0%,21.05
荷兰,0,20,0%,6.85
沙特阿拉伯,0,20,0%,28.5
日本,0,19,0%,12.26
孟加拉,0,16,0%,23.75
乌克兰,0,13,0%,7.77
哥伦比亚,0,12,0%,19.25
爱尔兰,0,11,0%,12.09
塞舌尔,0,9,0%,6.22
希腊,0,9,0%,8.44
罗马尼亚,0,9,0%,10.67
南非,0,9,0%,11.33
芬兰,0,9,0%,11.56
葡萄牙,0,9,0%,26.33
阿曼,0,9,0%,37
中国香港,0,8,0%,19.25
埃及,0,8,0%,34
波兰,0,7,0%,6.29
比利时,0,7,0%,7.14
摩洛哥,0,7,0%,23.14
秘鲁,0,7,0%,33.14
塞尔维亚,0,6,0%,9.33
巴基斯坦,0,6,0%,19.17
阿根廷,0,6,0%,23.33
厄瓜多尔,0,6,0%,25.17
尼日利亚,0,6,0%,35.5
挪威,0,5,0%,4
瑞典,0,5,0%,7.4
俄罗斯,0,5,0%,8
阿拉伯联合酋长国,0,5,0%,9.8
委内瑞拉,0,5,0%,21.2
阿富汗,0,4,0%,5.5
丹麦,0,4,0%,8.25
瑞士,0,4,0%,9.75
尼泊尔,0,4,0%,12.5
哈萨克斯坦,0,4,0%,13
阿尔及利亚,0,4,0%,15.75
以色列,0,4,0%,16
特立尼达和多巴哥,0,4,0%,16.25
智利,0,4,0%,18.25
保加利亚,0,3,0%,6.33
哥斯达黎加,0,3,0%,6.33
匈牙利,0,3,0%,7.33
卡塔尔,0,3,0%,7.33
新西兰,0,3,0%,8
加纳,0,3,0%,11
拉脱维亚,0,3,0%,11.33
柬埔寨,0,3,0%,14.67
阿塞拜疆,0,3,0%,15.33
波多黎各,0,3,0%,16.67
冰岛,0,2,0%,5.5
克罗地亚,0,2,0%,6
格鲁吉亚,0,2,0%,7
伊拉克,0,2,0%,7.5
肯尼亚,0,2,0%,7.5
白俄罗斯,0,2,0%,9
伊朗,0,2,0%,11.5
马耳他,0,2,0%,12
多米尼加共和国,0,2,0%,23.5
塞浦路斯,0,2,0%,36.5
埃塞俄比亚,0,2,0%,45
玻利维亚,0,1,0%,1
曼岛,0,1,0%,1
科威特,0,1,0%,1
斯洛伐克,0,1,0%,1
爱沙尼亚,0,1,0%,2
巴勒斯坦,0,1,0%,2
巴拿马,0,1,0%,3
坦桑尼亚,0,1,0%,4
塔吉克斯坦,0,1,0%,5
巴哈马,0,1,0%,7
巴巴多斯,0,1,0%,7
不丹,0,1,0%,7
泽西岛,0,1,0%,7
毛里求斯,0,1,0%,7
马其顿,0,1,0%,8
巴拉圭,0,1,0%,8
牙买加,0,1,0%,9
赞比亚,0,1,0%,9
危地马拉,0,1,0%,10
圣基茨和尼维斯,0,1,0%,10
斯洛文尼亚,0,1,0%,10
萨摩亚,0,1,0%,10
古巴,0,1,0%,11
乌拉圭,0,1,0%,11
斯里兰卡,0,1,0%,12
马拉维,0,1,0%,12
库拉索,0,1,0%,13
巴布亚新几内亚,0,1,0%,17
捷克,0,1,0%,26
突尼斯,0,1,0%,34
摩纳哥,0,1,0%,47
