日期,点击次数,展示,点击率,排名
2025-11-22,0,0,,
2025-11-23,0,0,,
2025-11-24,0,3,0%,31.3
2025-11-25,0,2,0%,6
2025-11-26,1,4,25%,4.2
2025-11-27,0,1,0%,12
2025-11-28,0,2,0%,94.5
2025-11-29,0,2,0%,5
2025-11-30,0,6,0%,5.7
2025-12-01,1,54,1.85%,14.7
2025-12-02,1,95,1.05%,19.2
2025-12-03,0,40,0%,17.1
2025-12-04,0,51,0%,10.7
2025-12-05,0,23,0%,12.1
2025-12-06,0,17,0%,18.4
2025-12-07,1,22,4.55%,31.8
2025-12-08,0,24,0%,17.9
2025-12-09,0,20,0%,14.4
2025-12-10,0,16,0%,18.9
2025-12-11,0,19,0%,14.6
2025-12-12,0,20,0%,21.2
2025-12-13,0,20,0%,19.3
2025-12-14,0,19,0%,19.7
2025-12-15,0,20,0%,21.7
2025-12-16,1,29,3.45%,20.9
2025-12-17,0,18,0%,17.7
2025-12-18,0,35,0%,13.5
2025-12-19,0,20,0%,13
2025-12-20,0,12,0%,21.7
2025-12-21,0,19,0%,26.9
2025-12-22,1,24,4.17%,16.9
2025-12-23,0,25,0%,21.4
2025-12-24,0,19,0%,16.2
2025-12-25,0,17,0%,18.2
2025-12-26,1,29,3.45%,16
2025-12-27,1,24,4.17%,22
2025-12-28,1,26,3.85%,26.5
2025-12-29,1,25,4%,17.2
2025-12-30,0,29,0%,18.7
2025-12-31,0,31,0%,13
2026-01-01,0,31,0%,9.7
2026-01-02,0,26,0%,13.3
2026-01-03,0,18,0%,12.4
2026-01-04,0,19,0%,14.1
2026-01-05,0,21,0%,20.5
2026-01-06,0,11,0%,15.8
2026-01-07,0,21,0%,21.9
2026-01-08,0,5,0%,23.6
2026-01-09,0,7,0%,26.1
2026-01-10,0,11,0%,21.5
2026-01-11,0,13,0%,19.4
2026-01-12,0,9,0%,20
2026-01-13,0,15,0%,15.7
2026-01-14,0,31,0%,15.9
2026-01-15,1,32,3.12%,18.1
2026-01-16,0,37,0%,21.9
2026-01-17,0,29,0%,16.6
2026-01-18,0,21,0%,24.6
2026-01-19,0,43,0%,37.1
2026-01-20,0,49,0%,25.9
2026-01-21,2,52,3.85%,29.7
2026-01-22,0,38,0%,33.3
2026-01-23,0,34,0%,23.6
2026-01-24,0,40,0%,24.7
2026-01-25,0,37,0%,21.9
2026-01-26,0,36,0%,19.3
2026-01-27,1,32,3.12%,20.6
2026-01-28,0,46,0%,29.7
2026-01-29,1,37,2.7%,21.5
2026-01-30,0,28,0%,21.2
2026-01-31,0,39,0%,17.2
2026-02-01,0,36,0%,17.5
2026-02-02,0,72,0%,15.2
2026-02-03,1,134,0.75%,8.8
2026-02-04,0,72,0%,10.8
2026-02-05,0,33,0%,15
2026-02-06,1,50,2%,13.7
2026-02-07,0,38,0%,11.7
2026-02-08,0,13,0%,13
2026-02-09,0,20,0%,15.5
2026-02-10,1,42,2.38%,10.2
2026-02-11,1,40,2.5%,22.1
2026-02-12,0,34,0%,18.5
2026-02-13,1,44,2.27%,10.8
2026-02-14,0,47,0%,16.3
2026-02-15,0,38,0%,9.7
2026-02-16,0,39,0%,11.1
2026-02-17,0,25,0%,12.7
2026-02-18,0,34,0%,7.1
2026-02-19,0,31,0%,9.8
2026-02-20,1,37,2.7%,9.6
2026-02-21,0,43,0%,11
2026-02-22,0,20,0%,15.9
2026-02-23,0,31,0%,8.5
2026-02-24,1,38,2.63%,9.8
2026-02-25,0,44,0%,8.5
2026-02-26,1,42,2.38%,12.1
2026-02-27,0,62,0%,10.8
